collectionType,setName,requiredPieceCount,gorgeousMagicPetName,pieceName,category,setRole,obtainType,obtainMethod,obtained,rawText,notes
set,反叛的水手,7,,下装-反叛的水手,下装,magic_required,standard,待补充,是,下装-反叛的水手,
set,夏日暖阳,6,,下装-夏日暖阳,下装,magic_required,standard,待补充,是,下装-夏日暖阳,
set,糖心暖阳,6,,下装-糖心暖阳,下装,magic_required,standard,待补充,是,下装-糖心暖阳,
set,凛冬革风,6,,下装-凛冬革风,下装,magic_required,standard,待补充,是,下装-凛冬革风,
set,晴午革风,6,,下装-晴午革风,下装,magic_required,standard,待补充,是,下装-晴午革风,
set,柿红革风,6,,下装-柿红革风,下装,magic_required,standard,待补充,是,下装-柿红革风,
set,奇丽花印象,7,奇丽花,下装-奇丽花印象,下装,magic_required,standard,待补充,是,下装-奇丽花印象,
single,,,,下装-旧日的回忆,下装,,standard,待补充,是,下装-旧日的回忆,待核对套装归属；“回忆/追忆”名称差异未自动合并
set,晴空的追忆,7,,下装-晴空的追忆,下装,magic_required,standard,待补充,是,下装-晴空的追忆,
single,,,,下装-新芽的回忆,下装,,standard,待补充,是,下装-新芽的回忆,待核对套装归属；“回忆/追忆”名称差异未自动合并
set,松果的追忆,7,,下装-松果的追忆,下装,magic_required,standard,待补充,是,下装=松果的追忆,
single,,,,下装-正红的回忆,下装,,standard,待补充,是,下装-正红的回忆,待核对套装归属；“回忆/追忆”名称差异未自动合并
set,魔法学院校服,5,,帽子-魔法学院校服,头饰/帽子,magic_required,standard,待补充,是,帽子-魔法学院校服,
single,,,,帽子-精灵学分院服,头饰/帽子,,standard,待补充,是,帽子=精灵学分院服,待核对套装归属；与套装“精灵学院分院服”名称不一致，未自动合并
single,,,,帽子-炼金学分院服,头饰/帽子,,standard,待补充,是,帽子-炼金学分院服,待核对套装归属；与套装“炼金学院分院服”名称不一致，未自动合并
set,仪典学分院服,4,,帽子-仪典学分院服,头饰/帽子,magic_required,standard,待补充,是,帽子-仪典学分院服,
set,战斗学分院服,4,,帽子-战斗学分院服,头饰/帽子,magic_required,standard,待补充,是,帽子-战斗学分院服,
set,明朗星愿,6,,帽子-明朗星愿,头饰/帽子,magic_required,standard,待补充,是,帽子-明朗星愿,
set,浪漫星愿,6,,帽子-浪漫星愿,头饰/帽子,magic_required,standard,待补充,是,帽子-浪漫星愿,
single,,,,帽子-宁静星愿,头饰/帽子,,standard,待补充,是,帽子-宁静星愿,待核对套装归属；与套装“宁静星原”名称不一致，未自动合并
set,夏日暖阳,6,,帽子-夏日暖阳,头饰/帽子,magic_required,standard,待补充,是,帽子-夏日暖阳,
set,糖心暖阳,6,,帽子-糖心暖阳,头饰/帽子,magic_required,standard,待补充,是,帽子-糖心暖阳,
set,凛冬革风,6,,帽子-凛冬革风,头饰/帽子,magic_required,standard,待补充,是,帽子-凛冬革风,
set,晴午革风,6,,帽子-晴午革风,头饰/帽子,magic_required,standard,待补充,是,帽子-晴午革风,
set,柿红革风,6,,帽子-柿红革风,头饰/帽子,magic_required,standard,待补充,是,帽子-柿红革风,
set,音速犬印象,6,音速犬,帽子-音速犬印象,头饰/帽子,magic_required,standard,待补充,是,帽子-音速犬印象,
set,星光狮印象,6,星光狮,帽子-星光狮印象,头饰/帽子,magic_required,standard,待补充,是,帽子-星光狮印象,
set,皇家狮鹫印象,6,皇家狮鹫,帽子-皇家狮鹫印象,头饰/帽子,magic_required,standard,待补充,是,帽子-皇家狮鹫印象,
set,岚鸟印象,6,岚鸟,帽子-岚鸟印象,头饰/帽子,magic_required,standard,待补充,是,帽子-岚鸟印象,
set,厉毒修萝印象,6,厉毒修萝,帽子-厉毒修萝印象,头饰/帽子,magic_required,standard,待补充,是,帽子-厉毒修萝印象,
set,花魁蜂后印象,6,花魁蜂后,帽子-花魁蜂后印象,头饰/帽子,magic_required,standard,待补充,是,帽子-花魁蜂后印象,
set,卡洛儿印象,6,卡洛儿,帽子-卡洛儿印象,头饰/帽子,magic_required,standard,待补充,是,帽子-卡洛儿印象,
set,圣代甜甜印象,6,圣代甜甜,帽子-圣代甜甜印象,头饰/帽子,magic_required,standard,待补充,是,帽子-圣代甜甜印象,
set,獠牙猪印象,6,獠牙猪,帽子-獠牙猪印象,头饰/帽子,magic_required,standard,待补充,是,帽子-獠牙猪印象,
set,梦悠悠印象,6,梦悠悠,帽子-梦悠悠印象,头饰/帽子,magic_required,standard,待补充,是,帽子-梦悠悠印象,
set,电球咩咩印象,6,电球咩咩,帽子-电球咩咩印象,头饰/帽子,magic_required,standard,待补充,是,帽子-电球咩咩印象,
set,雪影娃娃印象,6,雪影娃娃,帽子-雪影娃娃印象,头饰/帽子,magic_required,standard,待补充,是,帽子-雪影娃娃印象,
set,幽冥眼印象,6,幽冥眼,帽子-幽冥眼印象,头饰/帽子,magic_required,standard,待补充,是,帽子-幽冥眼印象,
single,,,,帽子-研究员帽子,头饰/帽子,,standard,待补充,是,帽子-研究员帽子,待核对套装归属
single,,,,帽子-费得的帽子,头饰/帽子,,standard,待补充,是,帽子-费得的帽子,待核对套装归属
set,旧日的追忆,7,,头饰-旧日的追忆,头饰/帽子,magic_required,standard,待补充,是,头饰-旧日的追忆,
set,晴空的追忆,7,,头饰-晴空的追忆,头饰/帽子,magic_required,standard,待补充,是,头饰-晴空的追忆,
set,新芽的追忆,7,,头饰-新芽的追忆,头饰/帽子,magic_required,standard,待补充,是,头饰-新芽的追忆,
set,松果的追忆,7,,头饰-松果的追忆,头饰/帽子,magic_required,standard,待补充,是,头饰-松果的追忆,
set,正红的追忆,7,,头饰-正红的追忆,头饰/帽子,magic_required,standard,待补充,是,头饰-正红的追忆,
set,反叛的水手,7,,头饰-反叛的水手,头饰/帽子,magic_required,standard,待补充,是,头饰-反叛的水手,
set,爵士鹿印象,6,爵士鹿,头饰-爵士鹿印象,头饰/帽子,magic_required,standard,待补充,是,头饰-爵士鹿印象,
set,熔岩布丁印象,6,熔岩布丁,头饰-熔岩布丁印象,头饰/帽子,magic_required,standard,待补充,是,头饰-熔岩布丁印象,
set,蹦蹦花印象,6,蹦蹦花,头饰-蹦蹦花印象,头饰/帽子,magic_required,standard,待补充,是,头饰-蹦蹦花印象,
set,旧日的追忆,7,,手饰-旧日的追忆,手饰,magic_required,standard,待补充,是,手饰-旧日的追忆,
set,晴空的追忆,7,,手饰-晴空的追忆,手饰,magic_required,standard,待补充,是,手饰-晴空的追忆,
set,新芽的追忆,7,,手饰-新芽的追忆,手饰,magic_required,standard,待补充,是,手饰-新芽的追忆,
set,松果的追忆,7,,手饰-松果的追忆,手饰,magic_required,standard,待补充,是,手饰-松果的追忆,
set,正红的追忆,7,,手饰-正红的追忆,手饰,magic_required,standard,待补充,是,手饰-正红的追忆,
set,反叛的水手,7,,手饰-反叛的水手,手饰,magic_required,standard,待补充,是,手饰-反叛的水手,
set,夏日暖阳,6,,手饰-夏日暖阳,手饰,magic_required,standard,待补充,是,手饰-夏日暖阳,
set,糖心暖阳,6,,手饰-糖心暖阳,手饰,magic_required,standard,待补充,是,手饰-糖心暖阳,
set,明朗星愿,6,,手饰-明朗星愿,手饰,magic_required,standard,待补充,是,手饰-明朗星愿,
set,浪漫星愿,6,,手饰-浪漫星愿,手饰,magic_required,standard,待补充,是,手饰-浪漫星愿,
single,,,,手饰-宁静星愿,手饰,,standard,待补充,是,手饰-宁静星愿,待核对套装归属；与套装“宁静星原”名称不一致，未自动合并
set,音速犬印象,6,音速犬,手饰-音速犬印象,手饰,magic_required,standard,待补充,是,手饰-音速犬印象,
set,岚鸟印象,6,岚鸟,手饰-岚鸟印象,手饰,magic_required,standard,待补充,是,手饰-岚鸟印象,
set,厉毒修萝印象,6,厉毒修萝,手饰-厉毒修萝印象,手饰,magic_required,standard,待补充,是,手饰-厉毒修萝印象,
set,翠顶夫人印象,6,翠顶夫人,手饰-翠顶夫人印象,手饰,magic_required,standard,待补充,是,手饰-翠顶夫人印象,
set,花魁蜂后印象,6,花魁蜂后,手饰-花魁蜂后印象,手饰,magic_required,standard,待补充,是,手饰-花魁蜂后印象,
set,圣代甜甜印象,6,圣代甜甜,手饰-圣代甜甜印象,手饰,magic_required,standard,待补充,是,手饰-圣代甜甜印象,
set,魔草巫灵印象,7,魔草巫灵,手饰-魔草巫灵印象,手饰,magic_required,standard,待补充,是,手饰-魔草巫灵印象,待核对：用户服装资料为“魔草巫灵”，pets.json 主名称为“魔草精灵”
set,嘟嘟锅印象,6,嘟嘟锅,手饰-嘟嘟锅印象,手饰,magic_required,standard,待补充,是,手饰-嘟嘟锅印象,
set,九幽菇印象,6,九幽菇,手饰-九幽菇印象,手饰,magic_required,standard,待补充,是,手饰-九幽菇印象,
set,梦悠悠印象,6,梦悠悠,手饰-梦悠悠印象,手饰,magic_required,standard,待补充,是,手饰-梦悠悠印象,
set,电球咩咩印象,6,电球咩咩,手饰-电球咩咩印象,手饰,magic_required,standard,待补充,是,手饰-电球咩咩印象,
set,幽冥眼印象,6,幽冥眼,手饰-幽冥眼印象,手饰,magic_required,standard,待补充,是,手饰-幽冥眼印象,
set,爵士鹿印象,6,爵士鹿,手饰-爵士鹿印象,手饰,magic_required,standard,待补充,是,手饰-爵士鹿印象,
set,熔岩布丁印象,6,熔岩布丁,手饰-熔岩布丁印象,手饰,magic_required,standard,待补充,是,手饰-熔岩布丁印象,
set,蹦蹦花印象,6,蹦蹦花,手饰-蹦蹦花印象,手饰,magic_required,standard,待补充,是,手饰-蹦蹦花印象,
set,快乐的果实,3,,手饰-快乐的果实,手饰,magic_required,standard,待补充,是,手饰-快乐的果实,
set,魔法学院校服,5,,面饰-魔法学院校服,面饰,magic_required,standard,待补充,是,面饰-魔法学院校服,
single,,,,面饰-万事通黑框眼镜,面饰,,standard,待补充,是,面饰-万事通黑框眼镜,待核对套装归属
single,,,,面饰-格里芬老花镜,面饰,,standard,待补充,是,面饰-格里芬老花镜,待核对套装归属
single,,,,面饰-费得创口贴,面饰,,standard,待补充,是,面饰-费得创口贴,待核对套装归属
single,,,,面饰-希洛的假面,面饰,,standard,待补充,是,面饰-希洛的假面,待核对套装归属
set,旧日的追忆,7,,鞋子-旧日的追忆,鞋子,magic_required,standard,待补充,是,鞋子-旧日的追忆,
set,晴空的追忆,7,,鞋子-晴空的追忆,鞋子,magic_required,standard,待补充,是,鞋子-晴空的追忆,
set,新芽的追忆,7,,鞋子-新芽的追忆,鞋子,magic_required,standard,待补充,是,鞋子-新芽的追忆,
set,松果的追忆,7,,鞋子-松果的追忆,鞋子,magic_required,standard,待补充,是,鞋子-松果的追忆,
set,正红的追忆,7,,鞋子-正红的追忆,鞋子,magic_required,standard,待补充,是,鞋子-正红的追忆,
set,魔法学院校服,5,,鞋子-魔法学院校服,鞋子,magic_required,standard,待补充,是,鞋子-魔法学院校服,
single,,,,鞋子-精灵学分院服,鞋子,,standard,待补充,是,鞋子-精灵学分院服,待核对套装归属；与套装“精灵学院分院服”名称不一致，未自动合并
single,,,,鞋子-炼金学分院服,鞋子,,standard,待补充,是,鞋子-炼金学分院服,待核对套装归属；与套装“炼金学院分院服”名称不一致，未自动合并
set,仪典学分院服,4,,鞋子-仪典学分院服,鞋子,magic_required,standard,待补充,是,鞋子-仪典学分院服,
set,战斗学分院服,4,,鞋子-战斗学分院服,鞋子,magic_required,standard,待补充,是,鞋子-战斗学分院服,
set,反叛的水手,7,,鞋子-反叛的水手,鞋子,magic_required,standard,待补充,是,鞋子-反叛的水手,
set,夏日暖阳,6,,鞋子-夏日暖阳,鞋子,magic_required,standard,待补充,是,鞋子-夏日暖阳,
set,糖心暖阳,6,,鞋子-糖心暖阳,鞋子,magic_required,standard,待补充,是,鞋子-糖心暖阳,
set,凛冬革风,6,,鞋子-凛冬革风,鞋子,magic_required,standard,待补充,是,鞋子-凛冬革风,
set,晴午革风,6,,鞋子-晴午革风,鞋子,magic_required,standard,待补充,是,鞋子-晴午革风,
set,柿红革风,6,,鞋子-柿红革风,鞋子,magic_required,standard,待补充,是,鞋子-柿红革风,
set,明朗星愿,6,,鞋子-明朗星愿,鞋子,magic_required,standard,待补充,是,鞋子-明朗星愿,
set,浪漫星愿,6,,鞋子-浪漫星愿,鞋子,magic_required,standard,待补充,是,鞋子-浪漫星愿,
single,,,,鞋子-宁静星愿,鞋子,,standard,待补充,是,鞋子-宁静星愿,待核对套装归属；与套装“宁静星原”名称不一致，未自动合并
set,音速犬印象,6,音速犬,鞋子-音速犬印象,鞋子,magic_required,standard,待补充,是,鞋子-音速犬印象,
set,星光狮印象,6,星光狮,鞋子-星光狮印象,鞋子,magic_required,standard,待补充,是,鞋子-星光狮印象,
set,皇家狮鹫印象,6,皇家狮鹫,鞋子-皇家狮鹫印象,鞋子,magic_required,standard,待补充,是,鞋子-皇家狮鹫印象,
set,岚鸟印象,6,岚鸟,鞋子-岚鸟印象,鞋子,magic_required,standard,待补充,是,鞋子-岚鸟印象,
set,厉毒修萝印象,6,厉毒修萝,鞋子-厉毒修萝印象,鞋子,magic_required,standard,待补充,是,鞋子-厉毒修萝印象,
set,卡洛儿印象,6,卡洛儿,鞋子-卡洛儿印象,鞋子,magic_required,standard,待补充,是,鞋子-卡洛儿印象,
set,圣代甜甜印象,6,圣代甜甜,鞋子-圣代甜甜印象,鞋子,magic_required,standard,待补充,是,鞋子-圣代甜甜印象,
set,獠牙猪印象,6,獠牙猪,鞋子-獠牙猪印象,鞋子,magic_required,standard,待补充,是,鞋子-獠牙猪印象,
set,蒲公英娃娃印象,6,蒲公英娃娃,鞋子-蒲公英娃娃印象,鞋子,magic_required,standard,待补充,是,鞋子-蒲公英娃娃印象,
set,奇丽花印象,7,奇丽花,鞋子-奇丽花印象,鞋子,magic_required,standard,待补充,是,鞋子-奇丽花印象,
set,花衣蝶印象,6,花衣蝶,鞋子-花衣蝶印象,鞋子,magic_required,standard,待补充,是,鞋子-花衣蝶印象,
set,红绒十字印象,6,红绒十字,鞋子-红绒十字印象,鞋子,magic_required,standard,待补充,是,鞋子-红绒十字印象,
set,白金独角兽印象,6,白金独角兽,鞋子-白金独角兽印象,鞋子,magic_required,standard,待补充,是,鞋子-白金独角兽印象,
set,九幽菇印象,6,九幽菇,鞋子-九幽菇印象,鞋子,magic_required,standard,待补充,是,鞋子-九幽菇印象,
set,电球咩咩印象,6,电球咩咩,鞋子-电球咩咩印象,鞋子,magic_required,standard,待补充,是,鞋子-电球咩咩印象,
set,幽冥眼印象,6,幽冥眼,鞋子-幽冥眼印象,鞋子,magic_required,standard,待补充,是,鞋子-幽冥眼印象,
set,爵士鹿印象,6,爵士鹿,鞋子-爵士鹿印象,鞋子,magic_required,standard,待补充,是,鞋子-爵士鹿印象,
set,熔岩布丁印象,6,熔岩布丁,鞋子-熔岩布丁印象,鞋子,magic_required,standard,待补充,是,鞋子-熔岩布丁印象,
set,蹦蹦花印象,6,蹦蹦花,鞋子-蹦蹦花印象,鞋子,magic_required,standard,待补充,是,鞋子-蹦蹦花印象,
set,快乐的果实,3,,鞋子-快乐的果实,鞋子,magic_required,standard,待补充,是,鞋子-快乐的果实,
set,旧日的追忆,7,,袜子-旧日的追忆,袜子,magic_required,standard,待补充,是,袜子-旧日的追忆,
set,晴空的追忆,7,,袜子-晴空的追忆,袜子,magic_required,standard,待补充,是,袜子-晴空的追忆,
set,新芽的追忆,7,,袜子-新芽的追忆,袜子,magic_required,standard,待补充,是,袜子-新芽的追忆,
set,松果的追忆,7,,袜子-松果的追忆,袜子,magic_required,standard,待补充,是,袜子-松果的追忆,
set,正红的追忆,7,,袜子-正红的追忆,袜子,magic_required,standard,待补充,是,袜子-正红的追忆,
set,反叛的水手,7,,袜子-反叛的水手,袜子,magic_required,standard,待补充,是,袜子-反叛的水手,
set,凛冬革风,6,,袜子-凛冬革风,袜子,magic_required,standard,待补充,是,袜子-凛冬革风,
set,晴午革风,6,,袜子-晴午革风,袜子,magic_required,standard,待补充,是,袜子-晴午革风,
set,柿红革风,6,,袜子-柿红革风,袜子,magic_required,standard,待补充,是,袜子-柿红革风,
set,明朗星愿,6,,袜子-明朗星愿,袜子,magic_required,standard,待补充,是,袜子-明朗星愿,
set,浪漫星愿,6,,袜子-浪漫星愿,袜子,magic_required,standard,待补充,是,袜子-浪漫星愿,
single,,,,袜子-宁静星愿,袜子,,standard,待补充,是,袜子-宁静星愿,待核对套装归属；与套装“宁静星原”名称不一致，未自动合并
set,音速犬印象,6,音速犬,袜子-音速犬印象,袜子,magic_required,standard,待补充,是,袜子-音速犬印象,
set,星光狮印象,6,星光狮,袜子-星光狮印象,袜子,magic_required,standard,待补充,是,袜子-星光狮印象,
set,皇家狮鹫印象,6,皇家狮鹫,袜子-皇家狮鹫印象,袜子,magic_required,standard,待补充,是,袜子-皇家狮鹫印象,
set,岚鸟印象,6,岚鸟,袜子-岚鸟印象,袜子,magic_required,standard,待补充,是,袜子-岚鸟印象,
set,厉毒修萝印象,6,厉毒修萝,袜子-厉毒修萝印象,袜子,magic_required,standard,待补充,是,袜子-厉毒修萝印象,
set,翠顶夫人印象,6,翠顶夫人,袜子-翠顶夫人印象,袜子,magic_required,standard,待补充,是,袜子-翠顶夫人印象,
set,花魁蜂后印象,6,花魁蜂后,袜子-花魁蜂后印象,袜子,magic_required,standard,待补充,是,袜子-花魁蜂后印象,
set,卡洛儿印象,6,卡洛儿,袜子-卡洛儿印象,袜子,magic_required,standard,待补充,是,袜子-卡洛儿印象,
set,圣代甜甜印象,6,圣代甜甜,袜子-圣代甜甜印象,袜子,magic_required,standard,待补充,是,袜子-圣代甜甜印象,
set,獠牙猪印象,6,獠牙猪,袜子-獠牙猪印象,袜子,magic_required,standard,待补充,是,袜子-獠牙猪印象,
set,高脚鹬印象,7,高脚鹬,袜子-高脚鹬印象,袜子,magic_required,standard,待补充,是,袜子-高脚鹬印象,
set,红绒十字印象,6,红绒十字,袜子-红绒十字印象,袜子,magic_required,standard,待补充,是,袜子-红绒十字印象,
set,白金独角兽印象,6,白金独角兽,袜子-白金独角兽印象,袜子,magic_required,standard,待补充,是,袜子-白金独角兽印象,
set,琉璃水母印象,6,琉璃水母,袜子-琉璃水母印象,袜子,magic_required,standard,待补充,是,袜子-琉璃水母印象,
set,九幽菇印象,6,九幽菇,袜子-九幽菇印象,袜子,magic_required,standard,待补充,是,袜子-九幽菇印象,
set,梦悠悠印象,6,梦悠悠,袜子-梦悠悠印象,袜子,magic_required,standard,待补充,是,袜子-梦悠悠印象,
set,电球咩咩印象,6,电球咩咩,袜子-电球咩咩印象,袜子,magic_required,standard,待补充,是,袜子-电球咩咩印象,
set,雪影娃娃印象,6,雪影娃娃,袜子-雪影娃娃印象,袜子,magic_required,standard,待补充,是,袜子-雪影娃娃印象,
set,爵士鹿印象,6,爵士鹿,袜子-爵士鹿印象,袜子,magic_required,standard,待补充,是,袜子-爵士鹿印象,
set,熔岩布丁印象,6,熔岩布丁,袜子-熔岩布丁印象,袜子,magic_required,standard,待补充,是,袜子-熔岩布丁印象,
set,蹦蹦花印象,6,蹦蹦花,袜子-蹦蹦花印象,袜子,magic_required,standard,待补充,是,袜子-蹦蹦花印象,
set,旧日的追忆,7,,背包-旧日的追忆,背包,magic_required,standard,待补充,是,背包-旧日的追忆,
set,晴空的追忆,7,,背包-晴空的追忆,背包,magic_required,standard,待补充,是,背包-晴空的追忆,
set,新芽的追忆,7,,背包-新芽的追忆,背包,magic_required,standard,待补充,是,背包-新芽的追忆,
set,松果的追忆,7,,背包-松果的追忆,背包,magic_required,standard,待补充,是,背包-松果的追忆,
set,正红的追忆,7,,背包-正红的追忆,背包,magic_required,standard,待补充,是,背包-正红的追忆,
set,魔法学院校服,5,,背包-魔法学院校服,背包,magic_required,standard,待补充,是,背包-魔法学院校服,
single,,,,背包-精灵学分院服,背包,,standard,待补充,是,背包-精灵学分院服,待核对套装归属；与套装“精灵学院分院服”名称不一致，未自动合并
single,,,,背包-炼金学分院服,背包,,standard,待补充,是,背包-炼金学分院服,待核对套装归属；与套装“炼金学院分院服”名称不一致，未自动合并
set,仪典学分院服,4,,背包-仪典学分院服,背包,magic_required,standard,待补充,是,背包-仪典学分院服,
set,战斗学分院服,4,,背包-战斗学分院服,背包,magic_required,standard,待补充,是,背包-战斗学分院服,
set,反叛的水手,7,,背包-反叛的水手,背包,magic_required,standard,待补充,是,背包-反叛的水手,
set,夏日暖阳,6,,背包-夏日暖阳,背包,magic_required,standard,待补充,是,背包-夏日暖阳,
set,糖心暖阳,6,,背包-糖心暖阳,背包,magic_required,standard,待补充,是,背包-糖心暖阳,
set,凛冬革风,6,,背包-凛冬革风,背包,magic_required,standard,待补充,是,背包-凛冬革风,
set,晴午革风,6,,背包-晴午革风,背包,magic_required,standard,待补充,是,背包-晴午革风,
set,柿红革风,6,,背包-柿红革风,背包,magic_required,standard,待补充,是,背包-柿红革风,
set,明朗星愿,6,,背包-明朗星愿,背包,magic_required,standard,待补充,是,背包-明朗星愿,
set,浪漫星愿,6,,背包-浪漫星愿,背包,magic_required,standard,待补充,是,背包-浪漫星愿,
single,,,,背包-宁静星愿,背包,,standard,待补充,是,背包-宁静星愿,待核对套装归属；与套装“宁静星原”名称不一致，未自动合并
set,音速犬印象,6,音速犬,背包-音速犬印象,背包,magic_required,standard,待补充,是,背包-音速犬印象,
set,星光狮印象,6,星光狮,背包-星光狮印象,背包,magic_required,standard,待补充,是,背包-星光狮印象,
set,皇家狮鹫印象,6,皇家狮鹫,背包-皇家狮鹫印象,背包,magic_required,standard,待补充,是,背包-皇家狮鹫印象,
set,岚鸟印象,6,岚鸟,背包-岚鸟印象,背包,magic_required,standard,待补充,是,背包-岚鸟印象,
set,厉毒修萝印象,6,厉毒修萝,背包-厉毒修萝印象,背包,magic_required,standard,待补充,是,背包-厉毒修萝印象,
set,卡洛儿印象,6,卡洛儿,背包-卡洛儿印象,背包,magic_required,standard,待补充,是,背包-卡洛儿印象,
set,圣代甜甜印象,6,圣代甜甜,背包-圣代甜甜印象,背包,magic_required,standard,待补充,是,背包-圣代甜甜印象,
set,獠牙猪印象,6,獠牙猪,背包-獠牙猪印象,背包,magic_required,standard,待补充,是,背包-獠牙猪印象,
set,蒲公英娃娃印象,6,蒲公英娃娃,背包-蒲公英娃娃印象,背包,magic_required,standard,待补充,是,背包-蒲公英娃娃印象,
set,雪灵印象,6,雪灵,背包-雪灵印象,背包,magic_required,standard,待补充,是,背包-雪灵印象,
set,魔眷鸟印象,7,魔眷鸟,背包-魔眷鸟印象,背包,magic_required,standard,待补充,是,背包-魔眷鸟印象,
set,梦悠悠印象,6,梦悠悠,背包-梦悠悠印象,背包,magic_required,standard,待补充,是,背包-梦悠悠印象,
set,电球咩咩印象,6,电球咩咩,背包-电球咩咩印象,背包,magic_required,standard,待补充,是,背包-电球咩咩印象,
set,幽冥眼印象,6,幽冥眼,背包-幽冥眼印象,背包,magic_required,standard,待补充,是,背包-幽冥眼印象,
set,爵士鹿印象,6,爵士鹿,背包-爵士鹿印象,背包,magic_required,standard,待补充,是,背包-爵士鹿印象,
set,熔岩布丁印象,6,熔岩布丁,背包-熔岩布丁印象,背包,magic_required,standard,待补充,是,背包-熔岩布丁印象,
set,蹦蹦花印象,6,蹦蹦花,背包-蹦蹦花印象,背包,magic_required,standard,待补充,是,背包-蹦蹦花印象,
single,,,,包挂饰-誓约荣耀,包挂饰,,standard,待补充,是,包挂饰-誓约荣耀,待核对套装归属
