quest_id,name,state,zone,required_level,quest_level,earliest_completion_level,task_class,objective_summary,time_optimistic_min,time_central_min,time_pessimistic_min,distance_index,missing_group_prerequisites,missing_single_prerequisites,next_quest,route_flags,confidence,xp_at_35,xp_at_36,xp_at_37,xp_at_38,xp_at_39,xp_at_40,xp_at_41,xp_at_42,xp_at_43,xp_at_44,xp_at_45,xp_at_46,xp_at_47,xp_at_48,xp_at_49,xp_at_50,xp_at_51,xp_at_52,xp_at_53,xp_at_54
11169,恐怖图腾的武器,available_at_35,尘泥沼泽,35,38,35,shared_kill,kill/regular_shared_kills/x10/被捕获的图腾#23811,1.9,2.9,4.74,0.0,,,,,medium_high,7800,7800,7800,7800,7800,7800,7800,7800,7800,6300,4700,3100,1550,780,780,780,780,780,780,780
11172,坠毁的飞艇,available_at_35,尘泥沼泽,35,40,35,travel_dialogue_or_turnin,,1.4,2.06,3.43,7.51,,,,,medium_high,880,880,880,880,880,880,880,880,880,880,880,700,520,340,170,90,90,90,90,90
11173,沼泽中的毒药,available_at_35,尘泥沼泽,35,39,35,multi_creature_personal_drop,item/multiple_creature_task_item_drops/x6/毒性切割者#4348@80%|暗牙爬行者#4412@80%,9.94,18.51,35.79,15.99,,,,drop_rate_required,low_until_manual_review,8300,8300,8300,8300,8300,8300,8300,8300,8300,8300,6600,5000,3300,1650,820,820,820,820,820,820
11180,女巫岭的幽灵,available_at_35,尘泥沼泽,30,36,35,shared_kill,kill/regular_shared_kills/x10/无眠的幽魂#23861,4.81,6.73,9.94,0.1,,,11181,active_item_or_spell_use,medium_high,7000,7000,7000,7000,7000,7000,7000,5600,4200,2800,1400,700,700,700,700,700,700,700,700,700
11186,背叛的端倪？,available_at_35_conditional_trigger,尘泥沼泽,30,38,35,travel_dialogue_or_turnin,,0.9,1.4,2.4,0.0,,,,,medium_high,7800,7800,7800,7800,7800,7800,7800,7800,7800,6300,4700,3100,1550,780,780,780,780,780,780,780
11207,回收货物！,available_at_35,尘泥沼泽,35,39,35,world_object_item_collection,item/task_item_world_object_pickup/x8/Zeppelin Cargo#186450@100%,7.75,11.73,17.15,8.53,,,11208,object_respawn_and_multi_click_unknown,low_until_manual_review,8300,8300,8300,8300,8300,8300,8300,8300,8300,8300,6600,5000,3300,1650,820,820,820,820,820,820
11225,女巫岭的隐士,available_at_35,尘泥沼泽,32,36,35,travel_dialogue_or_turnin,,2.22,3.16,5.13,19.91,,,1218,active_item_or_spell_use,medium_high,700,700,700,700,700,700,700,560,420,280,140,70,70,70,70,70,70,70,70,70
566,通缉：瓦杜斯男爵,available_at_35_conditional_trigger,希尔斯布莱德丘陵,17,40,35,single_named_drop,item/single_named_creature_task_item/x1/瓦杜斯男爵#2306@100%,9.97,21.78,42.11,0.39,,,,cross_zone_or_multi_zone,low_until_manual_review,8700,8700,8700,8700,8700,8700,8700,8700,8700,8700,8700,7000,5200,3500,1750,880,880,880,880,880
495,意志之冠,available_at_35,幽暗城,34,39,35,travel_dialogue_or_turnin,,8.9,19.4,37.4,,,,518,cross_zone_or_multi_zone,low_until_manual_review,820,820,820,820,820,820,820,820,820,820,660,500,320,160,80,80,80,80,80,80
1164,科娜塔一家,available_at_35,幽暗城,27,36,35,mixed_with_personal_item,item/multiple_creature_task_item_drops/xNone/科娜塔·达比雷#4480@100%; item/multiple_creature_task_item_drops/xNone/马塞尔·达比雷#4481@100%; item/multiple_creature_task_item_drops/xNone/法迪尔·达比雷#4479@100%,11.3,23.06,42.58,0.0,,,,"cross_zone_or_multi_zone,drop_rate_required",low_until_manual_review,7000,7000,7000,7000,7000,7000,7000,5600,4200,2800,1400,700,700,700,700,700,700,700,700,700
1389,德莱尼水晶,available_at_35,悲伤沼泽,30,35,35,world_object_item_collection,item/task_item_world_object_pickup/x6/Draenethyst Crystals#22550@100%,9.54,13.83,20.71,74.2,,,,object_respawn_and_multi_click_unknown,low_until_manual_review,6600,6600,6600,6600,6600,6600,5300,4000,2600,1300,660,660,660,660,660,660,660,660,660,660
1392,木棒诺博鲁,available_at_35_conditional_trigger,悲伤沼泽,29,39,35,travel_dialogue_or_turnin,,0.9,1.4,2.4,0.0,,,,,medium_high,6200,6200,6200,6200,6200,6200,6200,6200,6200,6200,5000,3700,2500,1250,620,620,620,620,620,620
1418,尼卡·血痕,available_at_35,悲伤沼泽,30,35,35,travel_dialogue_or_turnin,,8.9,19.4,37.4,,,,1420,cross_zone_or_multi_zone,low_until_manual_review,3300,3300,3300,3300,3300,3300,2600,2000,1300,660,340,340,340,340,340,340,340,340,340,340
7867,斥候标准护理包,available_at_35,灰谷,35,44,35,travel_dialogue_or_turnin,,1.9,4.4,10.4,,,,,automatic_route_candidate_missing,low_until_manual_review,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,840,640,420,220,100
7702,让他们失眠！,available_at_35,灼热峡谷,30,49,35,world_object_item_collection,item/task_item_world_object_pickup/x1/Dark Iron Pillow#179828@100%,2.34,3.47,5.45,15.13,,,,object_respawn_and_multi_click_unknown,low_until_manual_review,13100,13100,13100,13100,13100,13100,13100,13100,13100,13100,13100,13100,13100,13100,13100,13100,13100,13100,13100,13100
187,猎虎,active,荆棘谷,28,35,35,shared_kill,kill/regular_shared_kills/x10/老年荆棘谷猛虎#1085,7.0,9.64,14.24,16.78,,,188,,medium_high,4900,4900,4900,4900,4900,4900,3900,2900,1950,980,500,500,500,500,500,500,500,500,500,500
189,血顶巨魔的耳朵,available_at_35,荆棘谷,30,35,35,multi_creature_personal_drop,item/multiple_creature_task_item_drops/x15/血顶战士#587@80%|血顶斥候#588@80%|血顶猎人#595@80%|血顶狂战士#597@80%|血顶巫医#660@80%|血顶猎头者#671@80%|血顶掷斧者#694@80%|血顶萨满祭司#697@80%,26.2,39.3,61.27,130.58,,,,drop_rate_required,low_until_manual_review,4900,4900,4900,4900,4900,4900,3900,2900,1950,980,500,500,500,500,500,500,500,500,500,500
192,猎豹,active,荆棘谷,28,38,35,shared_kill,kill/regular_shared_kills/x10/深喉猎豹#684,11.47,18.26,30.57,49.47,,,193,,medium_high,5800,5800,5800,5800,5800,5800,5800,5800,5800,4600,3500,2300,1150,580,580,580,580,580,580,580
195,猎龙,objective_complete_pending_turnin,荆棘谷,28,36,35,shared_kill,kill/regular_shared_kills/x10/鞭尾迅猛龙#686,8.32,11.77,17.84,26.2,,,196,,medium_high,3500,3500,3500,3500,3500,3500,3500,2800,2100,1400,700,360,360,360,360,360,360,360,360,360
213,恶性竞争,available_at_35,荆棘谷,31,36,35,multi_creature_personal_drop,item/multiple_creature_task_item_drops/x8/风险投资公司地质学家#1096@75%,19.8,30.0,48.72,118.24,,,,drop_rate_required,low_until_manual_review,7000,7000,7000,7000,7000,7000,7000,5600,4200,2800,1400,700,700,700,700,700,700,700,700,700
338,荆棘谷的青山,available_at_35,荆棘谷,30,40,35,mixed_objectives,item/item_source_not_in_questie/x4/; item/item_source_not_in_questie/xNone/; item/item_source_not_in_questie/xNone/; item/item_source_not_in_questie/xNone/,5.9,11.4,25.4,0.0,,,,,low_until_manual_review,13100,13100,13100,13100,13100,13100,13100,13100,13100,13100,13100,10500,7900,5200,2600,1300,1300,1300,1300,1300
339,荆棘谷的青山 - 第一章,available_at_35,荆棘谷,30,40,35,mixed_with_personal_item,item/single_regular_creature_task_item/x1/血顶战士#587@0.6904%|血顶斥候#588@0.7563%|血顶猎人#595@0.6585%|血顶狂战士#597@0.6415%|血顶巫医#660@0.8402%|劈颅战士#667@0.739%|劈颅猎人#669@0.7341%|劈颅巫医#670@0.7025%; item/multiple_creature_task_item_drops/x4/血顶战士#587@0.6768%|血顶斥候#588@0.6644%|血顶猎人#595@0.7356%|血顶狂战士#597@0.7338%|血顶巫医#660@0.6547%|劈颅战士#667@0.6663%|劈颅猎人#669@0.6082%|劈颅巫医#670@0.5219%; item/multiple_creature_task_item_drops/x6/血顶战士#587@0.6606%|血顶斥候#588@0.7987%|血顶猎人#595@0.6935%|血顶狂战士#597@0.797%|血顶巫医#660@0.6711%|劈颅战士#667@0.6845%|劈颅猎人#669@0.7131%|劈颅巫医#670@0.5219%; item/multiple_creature_task_item_drops/x8/血顶战士#587@0.7202%|血顶斥候#588@0.8058%|血顶猎人#595@0.7285%|血顶狂战士#597@0.6366%|血顶巫医#660@0.7093%|劈颅战士#667@0.6981%|劈颅猎人#669@0.7865%|劈颅巫医#670@0.8029%,1254.59,2405.56,4523.21,14.5,,,,"drop_rate_required,elite_or_rare_target",low_until_manual_review,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,1750,1300,880,440,220,220,220,220,220
340,荆棘谷的青山 - 第二章,available_at_35,荆棘谷,30,40,35,mixed_with_personal_item,item/multiple_creature_task_item_drops/x10/血顶战士#587@0.7175%|血顶斥候#588@0.728%|血顶猎人#595@0.5744%|血顶狂战士#597@0.6804%|血顶巫医#660@0.5456%|劈颅战士#667@0.7299%|劈颅猎人#669@0.5977%|劈颅巫医#670@0.6825%; item/multiple_creature_task_item_drops/x11/血顶战士#587@0.6796%|血顶斥候#588@0.7846%|血顶猎人#595@0.6935%|血顶狂战士#597@0.6804%|血顶巫医#660@0.622%|劈颅战士#667@0.7027%|劈颅猎人#669@0.6397%|劈颅巫医#670@0.7226%; item/multiple_creature_task_item_drops/x14/血顶战士#587@0.7093%|血顶斥候#588@0.5655%|血顶猎人#595@0.9107%|血顶狂战士#597@0.6366%|血顶巫医#660@0.7202%|劈颅战士#667@0.7777%|劈颅猎人#669@0.755%|劈颅巫医#670@0.7025%; item/multiple_creature_task_item_drops/x16/血顶战士#587@0.7337%|血顶斥候#588@0.7563%|血顶猎人#595@0.5884%|血顶狂战士#597@0.6415%|血顶巫医#660@0.7638%|劈颅战士#667@0.7072%|劈颅猎人#669@0.6502%|劈颅巫医#670@0.6022%,2742.27,4968.85,8696.2,14.5,,,,"drop_rate_required,elite_or_rare_target",low_until_manual_review,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,1750,1300,880,440,220,220,220,220,220
341,荆棘谷的青山 - 第三章,available_at_35,荆棘谷,30,40,35,mixed_with_personal_item,item/multiple_creature_task_item_drops/x18/血顶战士#587@0.6417%|血顶斥候#588@0.7704%|血顶猎人#595@0.8266%|血顶狂战士#597@0.6707%|血顶巫医#660@0.6656%|劈颅战士#667@0.7368%|劈颅猎人#669@0.5034%|劈颅巫医#670@1.0638%; item/multiple_creature_task_item_drops/x20/血顶战士#587@0.62%|血顶斥候#588@0.7987%|血顶猎人#595@0.8196%|血顶狂战士#597@0.6512%|血顶巫医#660@0.6874%|劈颅战士#667@0.664%|劈颅猎人#669@0.7026%|劈颅巫医#670@0.6624%; item/multiple_creature_task_item_drops/x24/血顶战士#587@0.6877%|血顶斥候#588@0.7704%|血顶猎人#595@0.4974%|血顶狂战士#597@0.7338%|血顶巫医#660@0.7529%|劈颅战士#667@0.6617%|劈颅猎人#669@0.6607%|劈颅巫医#670@0.6222%; item/multiple_creature_task_item_drops/xNone/血顶战士#587@0.6417%|血顶斥候#588@0.7492%|血顶猎人#595@0.6445%|血顶狂战士#597@0.763%|血顶巫医#660@0.7093%|劈颅战士#667@0.6708%|劈颅猎人#669@0.6921%|劈颅巫医#670@0.542%,3663.88,6376.04,10700.06,14.5,,,,"drop_rate_required,elite_or_rare_target",low_until_manual_review,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,1750,1300,880,440,220,220,220,220,220
342,荆棘谷的青山 - 第四章,available_at_35,荆棘谷,30,40,35,mixed_with_personal_item,item/multiple_creature_task_item_drops/x25/血顶战士#587@0.6823%|血顶斥候#588@0.6361%|血顶猎人#595@0.7145%|血顶狂战士#597@0.6707%|血顶巫医#660@0.6765%|劈颅战士#667@0.7186%|劈颅猎人#669@0.6187%|劈颅巫医#670@0.7025%; item/multiple_creature_task_item_drops/x26/血顶战士#587@0.7608%|血顶斥候#588@0.6997%|血顶猎人#595@0.6725%|血顶狂战士#597@0.6561%|血顶巫医#660@0.6165%|劈颅战士#667@0.6435%|劈颅猎人#669@0.797%|劈颅巫医#670@0.7627%; item/multiple_creature_task_item_drops/x27/血顶战士#587@0.7012%|血顶斥候#588@0.6432%|血顶猎人#595@0.5324%|血顶狂战士#597@0.7678%|血顶巫医#660@0.6383%|劈颅战士#667@0.6276%|劈颅猎人#669@0.5663%|劈颅巫医#670@0.5018%,2944.91,5233.22,8953.82,14.5,,,,"drop_rate_required,elite_or_rare_target",low_until_manual_review,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,1750,1300,880,440,220,220,220,220,220
568,格罗姆高保卫战,available_at_35,荆棘谷,33,36,35,shared_kill,kill/regular_shared_kills/x15/鞭尾迅猛龙#686,9.9,14.13,21.17,12.61,,,569,,medium_high,7000,7000,7000,7000,7000,7000,7000,5600,4200,2800,1400,700,700,700,700,700,700,700,700,700
570,摩克萨尔丁的魔法,available_at_35,荆棘谷,33,38,35,mixed_with_personal_item,item/multiple_creature_task_item_drops/x8/深喉猎豹#684@80%|老年深喉猎豹#1713@80%; item/multiple_creature_task_item_drops/xNone/荆棘谷雌虎#772@100%,14.52,26.27,45.53,20.75,,,572,drop_rate_required,low_until_manual_review,5800,5800,5800,5800,5800,5800,5800,5800,5800,4600,3500,2300,1150,580,580,580,580,580,580,580
596,染血的白骨项链,available_at_35,荆棘谷,30,37,35,multi_creature_personal_drop,item/multiple_creature_task_item_drops/x25/血顶战士#587@80%|血顶斥候#588@80%|血顶猎人#595@80%|血顶狂战士#597@80%|血顶巫医#660@80%|血顶猎头者#671@80%|血顶掷斧者#694@80%|血顶萨满祭司#697@80%,28.25,43.99,68.24,34.47,,,,drop_rate_required,low_until_manual_review,5500,5500,5500,5500,5500,5500,5500,5500,4400,3300,2200,1100,560,560,560,560,560,560,560,560
605,歌唱水晶碎片,available_at_35,荆棘谷,30,35,35,multi_creature_personal_drop,item/multiple_creature_task_item_drops/x10/石喉蜥蜴#688@80%|晶背蜥蜴#689@80%|冷眼蜥蜴#690@80%|钢尾蜥蜴#1550@80%|铁腭蜥蜴#1551@80%,17.32,27.71,42.44,74.08,,,600,drop_rate_required,low_until_manual_review,6600,6600,6600,6600,6600,6600,5300,4000,2600,1300,660,660,660,660,660,660,660,660,660,660
620,刺着字母的腰带,available_at_35,荆棘谷,35,42,35,travel_dialogue_or_turnin,,1.9,4.4,10.4,,,,,"automatic_route_candidate_missing,non_npc_finish_or_missing_finish,non_npc_start_or_missing_start",low_until_manual_review,4800,4800,4800,4800,4800,4800,4800,4800,4800,4800,4800,4800,4800,3800,2900,1900,960,480,480,480
624,科泰罗的谜题,available_at_35_conditional_trigger,荆棘谷,35,43,35,travel_dialogue_or_turnin,,1.9,4.4,10.4,,,,625,automatic_route_candidate_missing,low_until_manual_review,10100,10100,10100,10100,10100,10100,10100,10100,10100,10100,10100,10100,10100,10100,8100,6100,4000,2000,1000,1000
629,暗礁海,available_at_35,荆棘谷,30,37,35,world_object_item_collection,item/task_item_world_object_pickup/x1/Gri'lek the Wanderer#58@100%,3.09,4.46,6.99,17.57,,,,object_respawn_and_multi_click_unknown,low_until_manual_review,7400,7400,7400,7400,7400,7400,7400,7400,5900,4500,3000,1500,740,740,740,740,740,740,740,740
638,巨魔之敌,available_at_35,荆棘谷,32,37,35,travel_dialogue_or_turnin,,8.9,19.4,37.4,,,,639,cross_zone_or_multi_zone,low_until_manual_review,1850,1850,1850,1850,1850,1850,1850,1850,1450,1100,740,360,180,180,180,180,180,180,180,180
7810,竞技场高手,available_at_35_conditional_trigger,荆棘谷,1,55,35,travel_dialogue_or_turnin,,0.9,1.4,2.4,0.0,,,,,medium_high,1650,1650,1650,1650,1650,1650,1650,1650,1650,1650,1650,1650,1650,1650,1650,1650,1650,1650,1650,1650
7908,竞技场高手,available_at_35,荆棘谷,1,55,35,travel_dialogue_or_turnin,,1.9,4.4,10.4,,,,,"automatic_route_candidate_missing,non_npc_finish_or_missing_finish,non_npc_start_or_missing_start",low_until_manual_review,1650,1650,1650,1650,1650,1650,1650,1650,1650,1650,1650,1650,1650,1650,1650,1650,1650,1650,1650,1650
703,烧烤秃鹰翅膀,available_at_35,荒芜之地,33,40,35,multi_creature_personal_drop,item/multiple_creature_task_item_drops/x4/饥饿的秃鹫#2829@33.9146%|秃鹫#2830@33.6057%|巨型秃鹫#2831@34.6136%|扎里科特#2931@34.0058%,13.9,25.44,47.2,15.82,,,,"drop_rate_required,elite_or_rare_target",low_until_manual_review,6500,6500,6500,6500,6500,6500,6500,6500,6500,6500,6500,5200,3900,2600,1300,660,660,660,660,660
705,潜水采珍珠,available_at_35,荒芜之地,30,37,35,world_object_item_collection,item/task_item_world_object_pickup/x9/Giant Clam#2744@50%,24.61,46.94,83.22,0.0,,,,"cross_zone_or_multi_zone,object_respawn_and_multi_click_unknown",low_until_manual_review,7400,7400,7400,7400,7400,7400,7400,7400,5900,4500,3000,1500,740,740,740,740,740,740,740,740
709,化解灾难,available_at_35,荒芜之地,30,40,35,world_object_item_collection,item/task_item_world_object_pickup/x1/Ancient Chest#126260@100%,9.69,20.6,39.1,0.0,,,,"cross_zone_or_multi_zone,object_respawn_and_multi_click_unknown",low_until_manual_review,8700,8700,8700,8700,8700,8700,8700,8700,8700,8700,8700,7000,5200,3500,1750,880,880,880,880,880
713,至关重要的冷却剂,available_at_35,荒芜之地,35,37,35,single_creature_drop,item/single_regular_creature_task_item/x1/邪枝巫医#2640@0.02%|焦油爬行者#6527@0.02%|死木园丁#7154@0.02%,10895.89,39502.35,82027.6,0.0,,,714,cross_zone_or_multi_zone,low_until_manual_review,7400,7400,7400,7400,7400,7400,7400,7400,5900,4500,3000,1500,740,740,740,740,740,740,740,740
1419,捕猎山狗,available_at_35,荒芜之地,30,40,35,multi_creature_personal_drop,item/multiple_creature_task_item_drops/x30/峭壁山狗#2727@80%|野生峭壁山狗#2728@80%|老峭壁山狗#2729@80%|疯狂的峭壁山狗#2730@80%,44.23,78.84,136.4,95.72,,,,drop_rate_required,low_until_manual_review,8700,8700,8700,8700,8700,8700,8700,8700,8700,8700,8700,7000,5200,3500,1750,880,880,880,880,880
1420,向赫格拉姆报到,available_at_35,荒芜之地,30,40,35,travel_dialogue_or_turnin,,8.9,19.4,37.4,,,,,cross_zone_or_multi_zone,low_until_manual_review,6500,6500,6500,6500,6500,6500,6500,6500,6500,6500,6500,5200,3900,2600,1300,660,660,660,660,660
