quest_id,name,state,zone,required_level,quest_level,earliest_completion_level,task_class,objective_summary,time_optimistic_min,time_central_min,time_pessimistic_min,distance_index,missing_group_prerequisites,missing_single_prerequisites,next_quest,route_flags,confidence,xp_at_35,xp_at_36,xp_at_37,xp_at_38,xp_at_39,xp_at_40,xp_at_41,xp_at_42,xp_at_43,xp_at_44,xp_at_45,xp_at_46,xp_at_47,xp_at_48,xp_at_49,xp_at_50,xp_at_51,xp_at_52,xp_at_53,xp_at_54
1183,地精赞助商,active,千针石林,29,37,35,travel_dialogue_or_turnin,,8.9,19.4,37.4,0.0,,,1186,cross_zone_or_multi_zone,low_until_manual_review,1850,1850,1850,1850,1850,1850,1850,1850,1450,1100,740,360,180,180,180,180,180,180,180,180
1186,第十八个驾驶员,level_met_but_prerequisite_locked,千针石林,29,37,35,travel_dialogue_or_turnin,,0.98,1.51,2.57,1.38,,1183,1187,,medium_high,740,740,740,740,740,740,740,740,600,440,300,150,70,70,70,70,70,70,70,70
1187,拉泽瑞克的调整,level_met_but_prerequisite_locked,千针石林,29,41,35,world_object_item_collection,item/task_item_world_object_pickup/x1/Gizmorium Shipping Crate#20727@100%,9.69,20.6,39.1,2.67,,1186,1188,"cross_zone_or_multi_zone,object_respawn_and_multi_click_unknown",low_until_manual_review,9200,9200,9200,9200,9200,9200,9200,9200,9200,9200,9200,9200,7300,5500,3700,1850,920,920,920,920
1188,安全第一,level_met_but_prerequisite_locked,千针石林,29,41,35,travel_dialogue_or_turnin,,8.9,19.4,37.4,,,1187,1189,cross_zone_or_multi_zone,low_until_manual_review,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,1800,1350,920,460,220,220,220,220
1189,安全第一,level_met_but_prerequisite_locked,千针石林,29,41,35,travel_dialogue_or_turnin,,8.9,19.4,37.4,0.0,,1188,,cross_zone_or_multi_zone,low_until_manual_review,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,1800,1350,920,460,220,220,220,220
1190,跟上节奏,level_met_but_prerequisite_locked,千针石林,29,41,35,travel_dialogue_or_turnin,,0.98,1.51,2.57,1.38,,1137,1194,,medium_high,4500,4500,4500,4500,4500,4500,4500,4500,4500,4500,4500,4500,3600,2700,1800,900,460,460,460,460
1194,瑞兹尔的图表,level_met_but_prerequisite_locked,千针石林,29,41,35,travel_dialogue_or_turnin,,1.06,1.61,2.73,2.67,,1190,,,medium_high,4500,4500,4500,4500,4500,4500,4500,4500,4500,4500,4500,4500,3600,2700,1800,900,460,460,460,460
1394,通过试炼,level_met_but_prerequisite_locked,千针石林,25,36,35,travel_dialogue_or_turnin,,8.9,19.4,37.4,0.0,,6628,,cross_zone_or_multi_zone,low_until_manual_review,10500,10500,10500,10500,10500,10500,10500,8400,6300,4200,2100,1050,1050,1050,1050,1050,1050,1050,1050,1050
5361,兄弟,active,千针石林,32,35,35,travel_dialogue_or_turnin,,8.9,19.4,37.4,,,,,cross_zone_or_multi_zone,low_until_manual_review,4900,4900,4900,4900,4900,4900,3900,2900,1950,980,500,500,500,500,500,500,500,500,500,500
2950,诺格的手艺,level_met_but_prerequisite_locked,奥格瑞玛,28,35,35,mixed_with_personal_item,item/task_item_world_object_pickup/x30/Battered Chest#2843@8.3333%|Battered Chest#2844@8.3333%|Tattered Chest#2845@8.3333%|Tattered Chest#2846|Tattered Chest#2847@3.7037%|Battered Chest#2849@3.5714%|Solid Chest#2850@3.5714%|Clam#2884@8.3333%; item/multiple_creature_task_item_drops/xNone/恐怖骸骨#202@0.22%|骷髅法师#203@0.2%|夜行黑暗狼人#205@0.2357%|夜行邪齿狼人#206@0.1958%|噬骨者#210@0.2557%|裂拳战士#212@0.2557%|饥饿的恐狼#213@0.075%|迪菲亚夜行者#215@0.1509%,354.9,621.71,1061.71,0.0,,2949,,"cross_zone_or_multi_zone,drop_rate_required,dungeon_objective_source,elite_or_rare_target,object_respawn_and_multi_click_unknown",low_until_manual_review,6600,6600,6600,6600,6600,6600,5300,4000,2600,1300,660,660,660,660,660,660,660,660,660,660
1177,饿！,available_at_35,尘泥沼泽,32,36,35,multi_creature_personal_drop,item/multiple_creature_task_item_drops/x8/黑鳍鱼人#4359@33%|黑鳍泥浆鱼人#4361@33%|黑鳍滩行鱼人#4362@33%|黑鳍智者#4363@33%|贼眼#14230@33%|刺脊#23841@33%,31.18,55.05,100.92,69.49,,,,"drop_rate_required,elite_or_rare_target",low_until_manual_review,7000,7000,7000,7000,7000,7000,7000,5600,4200,2800,1400,700,700,700,700,700,700,700,700,700
1201,塞拉摩间谍,available_at_35,尘泥沼泽,30,35,35,shared_kill,kill/regular_shared_kills/x9/塞拉摩间谍#4834,6.51,9.32,14.1,12.28,,,1202,,medium_high,6600,6600,6600,6600,6600,6600,5300,4000,2600,1300,660,660,660,660,660,660,660,660,660,660
1202,塞拉摩码头,level_met_but_prerequisite_locked,尘泥沼泽,30,35,35,world_object_item_collection,item/task_item_world_object_pickup/x1/Captain's Footlocker#20925@100%,7.09,9.8,15.27,81.5,,1201,,object_respawn_and_multi_click_unknown,low_until_manual_review,6600,6600,6600,6600,6600,6600,5300,4000,2600,1300,660,660,660,660,660,660,660,660,660,660
1203,加尔的剑,level_met_but_prerequisite_locked,尘泥沼泽,30,35,35,single_named_drop,item/single_named_creature_task_item/x1/刺脊#23841@100%,2.56,3.79,5.99,13.7,,1206,,active_item_or_spell_use,medium,8200,8200,8200,8200,8200,8200,6600,4900,3300,1650,820,820,820,820,820,820,820,820,820,820
1206,加尔和蜘蛛眼,level_met_but_prerequisite_locked,尘泥沼泽,30,35,35,multi_creature_personal_drop,item/multiple_creature_task_item_drops/x20/黑雾蜘蛛#4376@80%|暗雾独行蛛#4378@78%|暗雾纺丝者#4379@50%|暗雾寡妇蛛#4380@25%,27.87,47.15,77.34,47.26,,1218,1203,"active_item_or_spell_use,drop_rate_required,elite_or_rare_target",low_until_manual_review,6600,6600,6600,6600,6600,6600,5300,4000,2600,1300,660,660,660,660,660,660,660,660,660,660
1218,沼泽蛙的腿,available_at_35,尘泥沼泽,30,35,35,multi_creature_personal_drop,item/multiple_creature_task_item_drops/x10/大型沼泽蛙#23979@100%,5.42,8.99,13.45,2.32,,,1206,drop_rate_required,low_until_manual_review,3300,3300,3300,3300,3300,3300,2600,2000,1300,660,340,340,340,340,340,340,340,340,340,340
1238,遗失的报告,available_at_35_conditional_trigger,尘泥沼泽,30,35,35,travel_dialogue_or_turnin,,2.24,3.19,5.18,20.28,,,,,medium_high,4900,4900,4900,4900,4900,4900,3900,2900,1950,980,500,500,500,500,500,500,500,500,500,500
1239,被取下的徽记,level_met_but_prerequisite_locked,尘泥沼泽,30,35,35,travel_dialogue_or_turnin,,2.2,3.13,5.08,19.58,,1238,1240,,medium_high,4900,4900,4900,4900,4900,4900,3900,2900,1950,980,500,500,500,500,500,500,500,500,500,500
1240,巨魔巫医,level_met_but_prerequisite_locked,尘泥沼泽,30,35,35,travel_dialogue_or_turnin,,8.9,19.4,37.4,,,1239,,cross_zone_or_multi_zone,low_until_manual_review,6600,6600,6600,6600,6600,6600,5300,4000,2600,1300,660,660,660,660,660,660,660,660,660,660
1251,黑色盾牌,available_at_35_conditional_trigger,尘泥沼泽,30,35,35,travel_dialogue_or_turnin,,2.1,2.99,4.87,18.04,,,1321,,medium_high,1650,1650,1650,1650,1650,1650,1300,980,660,320,160,160,160,160,160,160,160,160,160,160
1261,玛尔格的嘱托,level_met_but_prerequisite_locked,尘泥沼泽,30,40,35,single_creature_drop,item/single_regular_creature_task_item/x1/污壳巨钳龙虾人#4401@5%|污壳硬爪龙虾人#4402@5%|污壳钳手龙虾人#4403@5%|污壳狂钳龙虾人#4404@5%,29.86,69.7,161.41,34.28,,1240,1262,cross_zone_or_multi_zone,low_until_manual_review,8700,8700,8700,8700,8700,8700,8700,8700,8700,8700,8700,7000,5200,3500,1750,880,880,880,880,880
1262,向佐尔报告,level_met_but_prerequisite_locked,尘泥沼泽,30,40,35,travel_dialogue_or_turnin,,8.9,19.4,37.4,,,1261,,cross_zone_or_multi_zone,low_until_manual_review,8700,8700,8700,8700,8700,8700,8700,8700,8700,8700,8700,7000,5200,3500,1750,880,880,880,880,880
1263,燃烧的旅店,available_at_35,尘泥沼泽,30,35,35,travel_dialogue_or_turnin,,1.9,4.4,10.4,,,,,"automatic_route_candidate_missing,non_npc_finish_or_missing_finish,non_npc_start_or_missing_start",low_until_manual_review,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1268,可疑的蹄印,available_at_35_conditional_trigger,尘泥沼泽,30,35,35,travel_dialogue_or_turnin,,2.1,2.99,4.87,18.04,,,,,medium_high,3300,3300,3300,3300,3300,3300,2600,2000,1300,660,340,340,340,340,340,340,340,340,340,340
1269,帕瓦尔·雷瑟上尉,available_at_35_conditional_trigger,尘泥沼泽,30,37,35,travel_dialogue_or_turnin,,2.1,2.99,4.87,18.04,,,,,medium_high,1850,1850,1850,1850,1850,1850,1850,1850,1450,1100,740,360,180,180,180,180,180,180,180,180
1272,寻找雷瑟,available_at_35,尘泥沼泽,30,37,35,travel_dialogue_or_turnin,,1.9,4.4,10.4,,,,,"automatic_route_candidate_missing,non_npc_finish_or_missing_finish,non_npc_start_or_missing_start",low_until_manual_review,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1276,黑色盾牌,level_met_but_prerequisite_locked,尘泥沼泽,30,37,35,travel_dialogue_or_turnin,,8.9,19.4,37.4,,,1323,,cross_zone_or_multi_zone,low_until_manual_review,3700,3700,3700,3700,3700,3700,3700,3700,3000,2200,1500,740,380,380,380,380,380,380,380,380
1281,吉姆的歌谣,available_at_35,尘泥沼泽,30,35,35,travel_dialogue_or_turnin,,1.9,4.4,10.4,,,,,"automatic_route_candidate_missing,non_npc_finish_or_missing_finish,non_npc_start_or_missing_start",low_until_manual_review,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1321,黑色盾牌,level_met_but_prerequisite_locked,尘泥沼泽,30,35,35,travel_dialogue_or_turnin,,0.95,1.47,2.51,0.77,,1251,1322,,medium_high,660,660,660,660,660,660,520,400,260,130,70,70,70,70,70,70,70,70,70,70
1322,黑色盾牌,level_met_but_prerequisite_locked,尘泥沼泽,30,37,35,multi_creature_personal_drop,item/multiple_creature_task_item_drops/x5/黑雾蜘蛛#4376@25%|暗雾独行蛛#4378@25%|暗雾纺丝者#4379@25%|暗雾寡妇蛛#4380@25%|暗牙爬行者#4412@25%|暗牙毒蜘蛛#4414@25%|巨型暗牙蜘蛛#4415@25%,26.03,53.59,109.84,18.11,,1321,1323,"drop_rate_required,elite_or_rare_target",low_until_manual_review,7400,7400,7400,7400,7400,7400,7400,7400,5900,4500,3000,1500,740,740,740,740,740,740,740,740
1323,黑色盾牌,level_met_but_prerequisite_locked,尘泥沼泽,30,37,35,travel_dialogue_or_turnin,,0.96,1.48,2.52,0.86,,1322,,,medium_high,3700,3700,3700,3700,3700,3700,3700,3700,3000,2200,1500,740,380,380,380,380,380,380,380,380
7541,为部落效力,level_met_but_prerequisite_locked,尘泥沼泽,30,40,35,travel_dialogue_or_turnin,,1.9,4.4,10.4,,,1262,,automatic_route_candidate_missing,low_until_manual_review,4300,4300,4300,4300,4300,4300,4300,4300,4300,4300,4300,3400,2600,1700,860,440,440,440,440,440
9437,黎明号的黄昏,available_at_35,尘泥沼泽,33,37,35,mixed_with_personal_item,kill/regular_shared_kills/xNone/伊萨妮亚#17119; item/task_item_world_object_pickup/xNone/Warped Crates#181626@100%,3.85,5.57,8.74,25.87,,,,object_respawn_and_multi_click_unknown,low_until_manual_review,7400,7400,7400,7400,7400,7400,7400,7400,5900,4500,3000,1500,740,740,740,740,740,740,740,740
11124,调查废墟,available_at_35,尘泥沼泽,30,35,35,travel_dialogue_or_turnin,,2.06,2.94,4.79,17.47,,,,,medium_high,660,660,660,660,660,660,520,400,260,130,70,70,70,70,70,70,70,70,70,70
11161,憎恨的精华,level_met_but_prerequisite_locked,尘泥沼泽,35,39,35,item_source_not_in_questie,item/item_source_not_in_questie/x10/,5.94,11.45,22.48,0.57,,11158,,,low_until_manual_review,8300,8300,8300,8300,8300,8300,8300,8300,8300,8300,6600,5000,3300,1650,820,820,820,820,820,820
11169,恐怖图腾的武器,available_at_35,尘泥沼泽,35,38,35,shared_kill,kill/regular_shared_kills/x10/被捕获的图腾#23811,1.9,2.9,4.74,0.0,,,,,medium_high,7800,7800,7800,7800,7800,7800,7800,7800,7800,6300,4700,3100,1550,780,780,780,780,780,780,780
11172,坠毁的飞艇,available_at_35,尘泥沼泽,35,40,35,travel_dialogue_or_turnin,,1.4,2.06,3.43,7.51,,,,,medium_high,880,880,880,880,880,880,880,880,880,880,880,700,520,340,170,90,90,90,90,90
11173,沼泽中的毒药,available_at_35,尘泥沼泽,35,39,35,multi_creature_personal_drop,item/multiple_creature_task_item_drops/x6/毒性切割者#4348@80%|暗牙爬行者#4412@80%,9.94,18.51,35.79,15.99,,,,drop_rate_required,low_until_manual_review,8300,8300,8300,8300,8300,8300,8300,8300,8300,8300,6600,5000,3300,1650,820,820,820,820,820,820
11180,女巫岭的幽灵,available_at_35,尘泥沼泽,30,36,35,shared_kill,kill/regular_shared_kills/x10/无眠的幽魂#23861,4.81,6.73,9.94,0.1,,,11181,active_item_or_spell_use,medium_high,7000,7000,7000,7000,7000,7000,7000,5600,4200,2800,1400,700,700,700,700,700,700,700,700,700
11181,除巫草,level_met_but_prerequisite_locked,尘泥沼泽,30,36,35,multi_creature_personal_drop,item/multiple_creature_task_item_drops/x9/复活的游魂#23554@1%|复活的躯壳#23555@1%,913.62,1666.4,2975.18,2.67,,11180,11183,"active_item_or_spell_use,drop_rate_required",low_until_manual_review,7000,7000,7000,7000,7000,7000,7000,5600,4200,2800,1400,700,700,700,700,700,700,700,700,700
11183,净化女巫岭,level_met_but_prerequisite_locked,尘泥沼泽,30,36,35,single_named_kill,kill/single_named_or_rare_kill/x1/泽尔弗拉克斯#23864,1.38,2.08,3.41,0.0,,11181,,active_item_or_spell_use,medium_high,8700,8700,8700,8700,8700,8700,8700,7000,5200,3500,1750,880,880,880,880,880,880,880,880,880
11186,背叛的端倪？,available_at_35_conditional_trigger,尘泥沼泽,30,38,35,travel_dialogue_or_turnin,,0.9,1.4,2.4,0.0,,,,,medium_high,7800,7800,7800,7800,7800,7800,7800,7800,7800,6300,4700,3100,1550,780,780,780,780,780,780,780
11200,绝非偶然,level_met_but_prerequisite_locked,尘泥沼泽,30,37,35,multi_creature_personal_drop,item/multiple_creature_task_item_drops/x7/尘泥鳄鱼#4341@1%|枯藤爬行者#4382@1%|恐怖图腾击碎者#23592@1%|恐怖图腾移魂者#23593@1%|恐怖图腾长者#23714@1%,766.22,1489.26,2885.0,37.14,,11204,,drop_rate_required,low_until_manual_review,7400,7400,7400,7400,7400,7400,7400,7400,5900,4500,3000,1500,740,740,740,740,740,740,740,740
11201,恐怖图腾的密谋,level_met_but_prerequisite_locked,尘泥沼泽,30,38,35,item_source_not_in_questie,item/item_source_not_in_questie/x1/,1.95,3.47,7.51,0.77,,11204,,,low_until_manual_review,7800,7800,7800,7800,7800,7800,7800,7800,7800,6300,4700,3100,1550,780,780,780,780,780,780,780
11203,寻找塔贝萨,level_met_but_prerequisite_locked,尘泥沼泽,30,37,35,travel_dialogue_or_turnin,,2.76,3.88,6.24,28.01,,11201,11205,,medium_high,740,740,740,740,740,740,740,740,600,440,300,150,70,70,70,70,70,70,70,70
11204,向克罗格汇报,level_met_but_prerequisite_locked,尘泥沼泽,30,38,35,travel_dialogue_or_turnin,,8.9,19.4,37.4,0.0,,1273,,cross_zone_or_multi_zone,low_until_manual_review,780,780,780,780,780,780,780,780,780,620,460,320,160,80,80,80,80,80,80,80
11205,烧毁恐角岗哨！,level_met_but_prerequisite_locked,尘泥沼泽,30,39,35,multi_target_shared_kill,kill/regular_shared_kills/xNone/北部帐篷#23751; kill/regular_shared_kills/xNone/东北部帐篷#23752; kill/regular_shared_kills/xNone/东部帐篷#23753,2.64,3.77,6.07,21.23,,11203,11206,active_item_or_spell_use,low_until_manual_review,8300,8300,8300,8300,8300,8300,8300,8300,8300,8300,6600,5000,3300,1650,820,820,820,820,820,820
11206,伸张正义,level_met_but_prerequisite_locked,尘泥沼泽,30,39,35,travel_dialogue_or_turnin,,2.69,3.79,6.1,26.99,,11205,,,medium_high,10300,10300,10300,10300,10300,10300,10300,10300,10300,10300,8200,6200,4100,2100,1050,1050,1050,1050,1050,1050
11207,回收货物！,available_at_35,尘泥沼泽,35,39,35,world_object_item_collection,item/task_item_world_object_pickup/x8/Zeppelin Cargo#186450@100%,7.75,11.73,17.15,8.53,,,11208,object_respawn_and_multi_click_unknown,low_until_manual_review,8300,8300,8300,8300,8300,8300,8300,8300,8300,8300,6600,5000,3300,1650,820,820,820,820,820,820
11208,给德拉兹特的货物,level_met_but_prerequisite_locked,尘泥沼泽,35,39,35,travel_dialogue_or_turnin,,2.23,3.18,5.16,20.12,,11207,,,medium_high,820,820,820,820,820,820,820,820,820,820,660,500,320,160,80,80,80,80,80,80
11225,女巫岭的隐士,available_at_35,尘泥沼泽,32,36,35,travel_dialogue_or_turnin,,2.22,3.16,5.13,19.91,,,1218,active_item_or_spell_use,medium_high,700,700,700,700,700,700,700,560,420,280,140,70,70,70,70,70,70,70,70,70
506,布莱克摩尔的余孽,level_met_but_prerequisite_locked,希尔斯布莱德丘陵,29,36,35,travel_dialogue_or_turnin,,8.9,19.4,37.4,0.0,,503,507,cross_zone_or_multi_zone,low_until_manual_review,5200,5200,5200,5200,5200,5200,5200,4200,3100,2100,1050,520,520,520,520,520,520,520,520,520
507,奥里登·匹瑞诺德,level_met_but_prerequisite_locked,希尔斯布莱德丘陵,29,42,35,single_named_kill,kill/single_named_or_rare_kill/x1/奥里登·匹瑞诺德领主#2423,9.83,21.67,42.34,,,506,508,cross_zone_or_multi_zone,low_until_manual_review,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,9600,7200,4800,2400,1200,1200,1200
508,塔蕾莎的礼物,level_met_but_prerequisite_locked,希尔斯布莱德丘陵,29,40,35,travel_dialogue_or_turnin,,8.9,19.4,37.4,0.0,,507,,cross_zone_or_multi_zone,low_until_manual_review,10900,10900,10900,10900,10900,10900,10900,10900,10900,10900,10900,8700,6500,4400,2200,1100,1100,1100,1100,1100
