quest_id,name,status,zone,required_level,quest_level,xp_db_level,xp_db_base,earliest_completion_level,xp_at_earliest_completion,task_class,objectives,time_optimistic_min,time_central_min,time_pessimistic_min,xp_per_central_minute,distance_index,pre_single,pre_group,next_quest,route_flags,confidence,manual_review
1361,雷戈萨·死门,available_by_level_subject_to_prerequisites,凄凉之地,30,32,32,670,35,1350,travel_dialogue_or_turnin,,8.9,19.4,37.4,69.6,,,,1362,"automatic_route_candidate_missing,cross_zone_or_multi_zone",low_until_manual_review,not_in_world_candidate_union
1362,凄凉之地的科卡尔部族,known_active_or_recently_active,凄凉之地,30,32,32,670,35,1350,travel_dialogue_or_turnin,,8.9,19.4,37.4,69.6,0.0,,,,cross_zone_or_multi_zone,low_until_manual_review,
1365,戴兹帕可汗,available_by_level_subject_to_prerequisites,凄凉之地,30,35,35,4100,35,8200,single_named_drop,item:single_named_creature_task_item:count=1:sources=戴兹帕可汗,5.01,7.04,12.73,1164.8,49.71,,,,,medium,
1366,悬赏半人马,available_by_level_subject_to_prerequisites,凄凉之地,30,31,31,3800,35,7600,multi_creature_personal_drop,"item:multiple_creature_task_item_drops:count=15:sources=科卡尔半人马,科卡尔斥候,科卡尔虐待者,科卡尔逐风者",14.46,46.08,129.71,164.9,38.7,1365,,,drop_rate_required,low_until_manual_review,server_drop_rate_needed
1367,玛格拉姆部族,available_by_level_subject_to_prerequisites,凄凉之地,30,33,33,720,35,1450,travel_dialogue_or_turnin,,2.26,3.22,5.22,450.3,20.58,,,1369,,medium_high,
1368,吉尔吉斯部族,available_by_level_subject_to_prerequisites,凄凉之地,30,33,33,720,35,1450,travel_dialogue_or_turnin,,2.76,3.88,6.24,373.7,28.03,,,1370,,medium_high,
1369,破碎之泪,available_by_level_subject_to_prerequisites,凄凉之地,30,33,33,2900,35,5800,multi_creature_personal_drop,"item:multiple_creature_task_item_drops:count=3:sources=吉尔吉斯逐风者,吉尔吉斯唤地者",8.8,19.08,44.96,304.0,85.94,"1367,1386",,1371,drop_rate_required,low_until_manual_review,server_drop_rate_needed
1370,偷取物资,available_by_level_subject_to_prerequisites,凄凉之地,30,35,35,1650,35,3300,world_object_item_collection,item:task_item_world_object_pickup:count=6:sources=Sack of Meat,8.12,11.69,21.65,282.3,71.14,"1368,1384",,1373,object_respawn_and_multi_click_unknown,low_until_manual_review,
1371,瓦鲁格的玩具,available_by_level_subject_to_prerequisites,凄凉之地,30,35,35,2450,35,4900,item_source_not_in_questie,item:item_source_not_in_questie:count=1:sources=,1.9,3.4,7.4,1441.2,0.0,1369,,,,low_until_manual_review,item_source_missing:4392
1373,盎格库尔,available_by_level_subject_to_prerequisites,凄凉之地,30,37,37,3710,35,7400,single_named_drop,item:single_named_creature_task_item:count=1:sources=盎格库尔,9.83,20.9,42.02,354.1,0.0,1370,,1374,cross_zone_or_multi_zone,low_until_manual_review,
1374,杰恩可汗,available_by_level_subject_to_prerequisites,凄凉之地,30,37,37,3710,35,7400,single_named_drop,item:single_named_creature_task_item:count=1:sources=杰恩可汗,5.77,8.16,15.17,906.9,59.51,1373,,1380,,medium,
1375,沙卡可汗,available_by_level_subject_to_prerequisites,凄凉之地,30,37,37,3710,35,7400,single_named_drop,item:single_named_creature_task_item:count=1:sources=沙卡可汗,7.66,10.68,19.07,692.9,88.0,1371,,1381,,medium,
1480,堕落者,available_by_level_subject_to_prerequisites,凄凉之地,25,33,33,1450,35,2900,travel_dialogue_or_turnin,,0.9,1.4,2.4,2071.4,0.0,,,1481,,medium_high,
1481,堕落者,available_by_level_subject_to_prerequisites,凄凉之地,25,33,33,2900,35,5800,single_creature_drop,item:single_regular_creature_task_item:count=1:sources=怨怒巡影者,7.02,12.9,27.14,449.6,80.56,1480,,1482,,medium,
1482,堕落者,available_by_level_subject_to_prerequisites,凄凉之地,25,35,35,3300,35,6600,single_named_drop,item:single_named_creature_task_item:count=1:sources=滑刃智者,8.0,11.02,18.77,598.9,95.95,1481,,,,medium,
1484,堕落者,available_by_level_subject_to_prerequisites,凄凉之地,25,33,33,290,35,580,travel_dialogue_or_turnin,,0.97,1.49,2.54,389.3,1.0,1482,,,,medium_high,
5381,埃鲁索斯之手,available_by_level_subject_to_prerequisites,凄凉之地,32,38,38,3920,35,7800,single_named_drop,item:single_named_creature_task_item:count=1:sources=恶魔灵魂,1.98,3.13,7.77,2492.0,0.0,,,5581,,medium,
5386,食鱼度日,available_by_level_subject_to_prerequisites,凄凉之地,32,37,37,2750,35,5500,item_source_not_in_questie,item:item_source_not_in_questie:count=2:sources=,1.9,3.4,7.4,1617.6,0.0,,,,,low_until_manual_review,item_source_missing:13546
5501,集骨者,available_by_level_subject_to_prerequisites,凄凉之地,29,32,32,2000,35,4000,world_object_item_collection,"item:task_item_world_object_pickup:count=10:sources=Kodo Bones,Kodo Bones",8.04,12.03,22.38,332.5,44.88,,,,object_respawn_and_multi_click_unknown,low_until_manual_review,
5561,诱捕科多兽,available_by_level_subject_to_prerequisites,凄凉之地,30,34,34,2300,35,4600,shared_kill,kill:regular_shared_kills:count=5:sources=被驯服的科多兽,3.81,5.54,8.47,830.3,0.0,,,,,medium_high,
5741,圣光节杖,available_by_level_subject_to_prerequisites,凄凉之地,30,33,33,2900,35,5800,single_named_drop,item:single_named_creature_task_item:count=1:sources=火刃先知,3.87,5.51,10.18,1052.6,34.31,,,6027,active_item_or_spell_use,medium,
5763,荆棘谷狩猎,available_by_level_subject_to_prerequisites,凄凉之地,28,31,31,1250,35,2500,travel_dialogue_or_turnin,,8.9,19.4,37.4,128.9,,,,,cross_zone_or_multi_zone,low_until_manual_review,
6142,蚌肉鱼饵,available_by_level_subject_to_prerequisites,凄凉之地,31,35,35,3300,35,6600,multi_creature_personal_drop,"item:multiple_creature_task_item_drops:count=10:sources=深海巨人,深海搜寻者,滑刃纳迦,滑刃巫师",14.75,39.67,104.05,166.4,102.53,,,,"drop_rate_required,elite_or_rare_target",low_until_manual_review,server_drop_rate_needed
6143,另一种鱼,available_by_level_subject_to_prerequisites,凄凉之地,32,36,36,3500,35,7000,multi_target_shared_kill,kill:regular_shared_kills:count=7:sources=滑刃侍从; kill:regular_shared_kills:count=7:sources=滑刃纳迦; kill:regular_shared_kills:count=5:sources=滑刃巫师,15.92,21.65,32.21,323.3,102.53,,,,,medium,
6161,拉克摩尔的财宝！,available_by_level_subject_to_prerequisites,凄凉之地,30,36,36,3500,35,7000,mixed_with_personal_item,"item:multiple_creature_task_item_drops:count=None:sources=枯钳龙虾人,枯钳巨螯龙虾人; item:multiple_creature_task_item_drops:count=None:sources=滑刃纳迦,滑刃巫师,滑刃战士,滑刃侍从",3.87,11.93,32.29,586.8,21.98,,,,"drop_rate_required,elite_or_rare_target",low_until_manual_review,"objective_count:missing_counts,server_drop_rate_needed"
1104,含盐的蝎毒,available_by_level_subject_to_prerequisites,千针石林,28,30,30,1850,35,3700,multi_creature_personal_drop,"item:multiple_creature_task_item_drops:count=6:sources=恐蝎,恐蝎劫掠者,邪刺恐蝎",6.21,22.7,65.39,163.0,12.62,,,,"drop_rate_required,elite_or_rare_target",low_until_manual_review,server_drop_rate_needed
1105,硬化龟壳,available_by_level_subject_to_prerequisites,千针石林,28,30,30,2450,35,4900,multi_creature_personal_drop,"item:multiple_creature_task_item_drops:count=9:sources=盐壳龟,盐壳钳嘴龟,盐壳掘地龟",9.56,31.63,89.64,154.9,23.03,,,,drop_rate_required,low_until_manual_review,server_drop_rate_needed
1106,流放者马特克,known_active_or_recently_active,千针石林,26,35,35,1650,35,3300,travel_dialogue_or_turnin,,8.9,19.4,37.4,170.1,,,,1108,cross_zone_or_multi_zone,low_until_manual_review,
1107,坚硬的尾鳍,known_active_or_recently_active,千针石林,28,35,35,3300,35,6600,multi_creature_personal_drop,"item:multiple_creature_task_item_drops:count=10:sources=盐鳞战士,盐鳞智者,盐鳞首领,盐鳞强盗",17.57,53.46,140.85,123.5,1.38,1105,,,"cross_zone_or_multi_zone,drop_rate_required",low_until_manual_review,server_drop_rate_needed
1108,精铁碎片,available_by_level_subject_to_prerequisites,千针石林,28,39,39,4140,35,8300,multi_creature_personal_drop,"item:multiple_creature_task_item_drops:count=10:sources=石窟穴居人,石窟斥候,石窟击颅者,石窟先知",18.49,60.21,169.28,137.9,,1106,,,"automatic_route_candidate_missing,cross_zone_or_multi_zone,drop_rate_required,dungeon_objective_source,elite_or_rare_target",low_until_manual_review,"not_in_world_candidate_union,server_drop_rate_needed"
1110,火箭车零件,available_by_level_subject_to_prerequisites,千针石林,28,31,31,2540,35,5100,world_object_item_collection,"item:task_item_world_object_pickup:count=30:sources=Rocket Car Rubble,Rocket Car Rubble,Rocket Car Rubble,Rocket Car Rubble",14.15,22.4,39.46,227.7,12.62,,,,object_respawn_and_multi_click_unknown,low_until_manual_review,
1111,码头管理员迪兹维格,available_by_level_subject_to_prerequisites,千针石林,30,36,36,1750,35,3500,travel_dialogue_or_turnin,,8.9,19.4,37.4,180.4,,,,1112,cross_zone_or_multi_zone,low_until_manual_review,
1112,给克拉维尔的零件,available_by_level_subject_to_prerequisites,千针石林,30,36,36,1750,35,3500,travel_dialogue_or_turnin,,8.9,19.4,37.4,180.4,0.0,1111,,,cross_zone_or_multi_zone,low_until_manual_review,
1114,侏儒的货物,known_completed,千针石林,30,36,36,870,35,1750,travel_dialogue_or_turnin,,1.06,1.61,2.73,1087.0,2.67,1112,,,,medium_high,
1115,车手的传闻,available_by_level_subject_to_prerequisites,千针石林,30,36,36,1750,35,3500,travel_dialogue_or_turnin,,8.9,19.4,37.4,180.4,,1114,,1116,cross_zone_or_multi_zone,low_until_manual_review,
1117,地精的谣言,known_active_or_recently_active,千针石林,30,36,36,4350,35,8700,travel_dialogue_or_turnin,,8.9,19.4,37.4,448.5,0.0,1116,,,cross_zone_or_multi_zone,low_until_manual_review,
1118,返回藏宝海湾,available_by_level_subject_to_prerequisites,千针石林,35,43,43,1260,35,2500,travel_dialogue_or_turnin,,8.9,19.4,37.4,128.9,,1117,,,cross_zone_or_multi_zone,low_until_manual_review,
1119,赞吉尔的药剂和蠢人酒,available_by_level_subject_to_prerequisites,千针石林,35,44,44,5290,35,10600,travel_dialogue_or_turnin,,8.9,19.4,37.4,546.4,0.0,,"621,1118",,cross_zone_or_multi_zone,low_until_manual_review,
1120,灌醉侏儒,available_by_level_subject_to_prerequisites,千针石林,35,44,44,525,35,1050,travel_dialogue_or_turnin,,0.96,1.48,2.53,709.5,1.03,1119,,,,medium_high,
1121,灌醉地精,available_by_level_subject_to_prerequisites,千针石林,35,44,44,525,35,1050,travel_dialogue_or_turnin,,0.96,1.48,2.53,709.5,1.03,1119,,,,medium_high,
1122,向菲兹巴布报告,available_by_level_subject_to_prerequisites,千针石林,35,44,44,2600,35,5200,travel_dialogue_or_turnin,,8.9,19.4,37.4,268.0,,"1120,1121",,,cross_zone_or_multi_zone,low_until_manual_review,
1137,回复菲兹尔,available_by_level_subject_to_prerequisites,千针石林,28,38,38,1950,35,3900,travel_dialogue_or_turnin,,8.9,19.4,37.4,201.0,0.0,1108,,,cross_zone_or_multi_zone,low_until_manual_review,
1147,疯狂的虫群,available_by_level_subject_to_prerequisites,千针石林,29,35,35,3300,35,6600,multi_target_shared_kill,kill:regular_shared_kills:count=5:sources=异种搜寻者; kill:regular_shared_kills:count=5:sources=异种筑巢蝎; kill:regular_shared_kills:count=5:sources=异种侵略者,10.42,14.26,20.99,462.8,44.07,1146,,,,medium,
1148,虫群的样本,available_by_level_subject_to_prerequisites,千针石林,28,35,35,3300,35,6600,mixed_with_personal_item,"item:single_regular_creature_task_item:count=1:sources=异种搜寻者,异种侵略者,异种破坏者,异种筑巢蝎; item:multiple_creature_task_item_drops:count=5:sources=异种搜寻者,异种侵略者,异种破坏者,异种筑巢蝎; item:multiple_creature_task_item_drops:count=3:sources=异种搜寻者,异种侵略者,异种破坏者,异种筑巢蝎",16.03,51.3,134.28,128.7,0.0,,,1184,"cross_zone_or_multi_zone,drop_rate_required,elite_or_rare_target",low_until_manual_review,server_drop_rate_needed
1150,耐力的试炼,available_by_level_subject_to_prerequisites,千针石林,25,30,30,2450,35,4900,single_named_drop,item:single_named_creature_task_item:count=1:sources=格林卡·血啸,1.65,2.55,5.67,1921.6,0.0,1149,,1151,,medium,
1151,力量的试炼,available_by_level_subject_to_prerequisites,千针石林,25,30,30,3050,35,6100,single_named_drop,item:single_named_creature_task_item:count=1:sources=罗卡里姆,5.02,7.05,12.65,865.2,56.29,1150,,1152,,medium,
1152,知识试炼,known_completed,千针石林,25,30,30,1200,35,2400,travel_dialogue_or_turnin,,8.9,19.4,37.4,123.7,,1151,,1154,cross_zone_or_multi_zone,low_until_manual_review,
1154,知识试炼,available_by_level_subject_to_prerequisites,千针石林,25,30,30,1850,35,3700,world_object_item_collection,item:task_item_world_object_pickup:count=1:sources=The Legacy of the Aspects,9.32,20.07,39.48,184.4,,1152,,6627,"automatic_route_candidate_missing,cross_zone_or_multi_zone,object_respawn_and_multi_click_unknown",low_until_manual_review,not_in_world_candidate_union
1159,知识试炼,available_by_level_subject_to_prerequisites,千针石林,25,30,30,1200,35,2400,travel_dialogue_or_turnin,,8.9,19.4,37.4,123.7,,6627,,1160,"automatic_route_candidate_missing,cross_zone_or_multi_zone",low_until_manual_review,not_in_world_candidate_union
1175,安全隐患,available_by_level_subject_to_prerequisites,千针石林,28,33,33,2900,35,5800,multi_target_shared_kill,kill:regular_shared_kills:count=10:sources=盐石蜥蜴; kill:regular_shared_kills:count=10:sources=盐石水晶蜥蜴; kill:regular_shared_kills:count=6:sources=盐石凝视者,11.85,16.31,23.46,355.6,2.01,,,,,medium,
1176,减轻负重,available_by_level_subject_to_prerequisites,千针石林,29,30,30,1850,35,3700,multi_creature_personal_drop,"item:multiple_creature_task_item_drops:count=10:sources=盐湖食腐鹫,盐湖秃鹫",9.22,31.71,91.02,116.7,13.5,,,1178,drop_rate_required,low_until_manual_review,server_drop_rate_needed
1178,地精赞助商,available_by_level_subject_to_prerequisites,千针石林,29,37,37,920,35,1850,travel_dialogue_or_turnin,,8.9,19.4,37.4,95.4,,1176,,1180,cross_zone_or_multi_zone,low_until_manual_review,
1180,地精赞助商,known_completed,千针石林,29,37,37,920,35,1850,travel_dialogue_or_turnin,,8.9,19.4,37.4,95.4,,1178,,1181,"automatic_route_candidate_missing,cross_zone_or_multi_zone",low_until_manual_review,not_in_world_candidate_union
1181,地精赞助商,known_completed,千针石林,29,37,37,370,35,740,travel_dialogue_or_turnin,,1.9,4.4,10.4,168.2,,1180,,1182,automatic_route_candidate_missing,low_until_manual_review,not_in_world_candidate_union
1182,地精赞助商,known_completed,千针石林,29,37,37,3710,35,7400,world_object_item_collection,item:task_item_world_object_pickup:count=1:sources=Cozzle's Footlocker,2.32,5.07,12.48,1459.6,,1181,,1183,"automatic_route_candidate_missing,object_respawn_and_multi_click_unknown",low_until_manual_review,not_in_world_candidate_union
1183,地精赞助商,known_active_or_recently_active,千针石林,29,37,37,920,35,1850,travel_dialogue_or_turnin,,8.9,19.4,37.4,95.4,0.0,1182,,1186,cross_zone_or_multi_zone,low_until_manual_review,
1184,虫群的消息,available_by_level_subject_to_prerequisites,千针石林,28,35,35,1650,35,3300,travel_dialogue_or_turnin,,8.9,19.4,37.4,170.1,,1148,,,"automatic_route_candidate_missing,cross_zone_or_multi_zone",low_until_manual_review,not_in_world_candidate_union
1186,第十八个驾驶员,available_by_level_subject_to_prerequisites,千针石林,29,37,37,370,35,740,travel_dialogue_or_turnin,,0.98,1.51,2.57,490.1,1.38,1183,,1187,,medium_high,
1187,拉泽瑞克的调整,available_by_level_subject_to_prerequisites,千针石林,29,41,41,4590,35,9200,world_object_item_collection,item:task_item_world_object_pickup:count=1:sources=Gizmorium Shipping Crate,9.32,20.07,39.48,458.4,2.67,1186,,1188,"cross_zone_or_multi_zone,object_respawn_and_multi_click_unknown",low_until_manual_review,
1188,安全第一,available_by_level_subject_to_prerequisites,千针石林,29,41,41,1140,35,2300,travel_dialogue_or_turnin,,8.9,19.4,37.4,118.6,,1187,,1189,cross_zone_or_multi_zone,low_until_manual_review,
1189,安全第一,available_by_level_subject_to_prerequisites,千针石林,29,41,41,1140,35,2300,travel_dialogue_or_turnin,,8.9,19.4,37.4,118.6,0.0,1188,,,cross_zone_or_multi_zone,low_until_manual_review,
1190,跟上节奏,available_by_level_subject_to_prerequisites,千针石林,29,41,41,2250,35,4500,travel_dialogue_or_turnin,,0.98,1.51,2.57,2980.1,1.38,1137,,1194,,medium_high,
1194,瑞兹尔的图表,available_by_level_subject_to_prerequisites,千针石林,29,41,41,2250,35,4500,travel_dialogue_or_turnin,,1.06,1.61,2.73,2795.0,2.67,1190,,,,medium_high,
1394,通过试炼,available_by_level_subject_to_prerequisites,千针石林,25,36,36,5250,35,10500,travel_dialogue_or_turnin,,8.9,19.4,37.4,541.2,0.0,6628,,,cross_zone_or_multi_zone,low_until_manual_review,
5151,超适应齿轮,available_by_level_subject_to_prerequisites,千针石林,24,30,30,3050,35,6100,single_named_drop,item:single_named_creature_task_item:count=1:sources=被激怒的黑豹,3.1,5.98,14.44,1020.1,15.84,,,,elite_or_rare_target,medium,
5361,兄弟,known_active_or_recently_active,千针石林,32,35,35,2450,35,4900,travel_dialogue_or_turnin,,8.9,19.4,37.4,252.6,,,,,cross_zone_or_multi_zone,low_until_manual_review,
5762,赫米特·奈辛瓦里二世,available_by_level_subject_to_prerequisites,千针石林,28,31,31,1250,35,2500,travel_dialogue_or_turnin,,8.9,19.4,37.4,128.9,,,,,cross_zone_or_multi_zone,low_until_manual_review,
1146,疯狂的虫群,available_by_level_subject_to_prerequisites,奥格瑞玛,29,33,33,2150,35,4300,travel_dialogue_or_turnin,,8.9,19.4,37.4,221.6,,1145,,1147,cross_zone_or_multi_zone,low_until_manual_review,
1431,联盟关系,available_by_level_subject_to_prerequisites,奥格瑞玛,30,30,30,610,35,1200,travel_dialogue_or_turnin,,1.68,2.44,4.02,491.8,29.52,,,1432,,medium_high,
1432,联盟关系,available_by_level_subject_to_prerequisites,奥格瑞玛,30,30,30,1200,35,2400,travel_dialogue_or_turnin,,8.9,19.4,37.4,123.7,,1431,,,cross_zone_or_multi_zone,low_until_manual_review,
1433,联盟关系,available_by_level_subject_to_prerequisites,奥格瑞玛,30,33,33,290,35,580,travel_dialogue_or_turnin,,1.9,4.4,10.4,131.8,,1432,,1435,automatic_route_candidate_missing,low_until_manual_review,not_in_world_candidate_union
1434,萨特的威胁,available_by_level_subject_to_prerequisites,奥格瑞玛,25,33,33,2900,35,5800,multi_target_shared_kill,kill:regular_shared_kills:count=7:sources=怨怒潜行者; kill:regular_shared_kills:count=7:sources=怨怒魔仆; kill:regular_shared_kills:count=7:sources=怨怒背叛者; kill:regular_shared_kills:count=7:sources=怨怒唤魔者,13.67,20.43,33.01,283.9,,,,,automatic_route_candidate_missing,low_until_manual_review,not_in_world_candidate_union
1435,灵魂的燃烧,available_by_level_subject_to_prerequisites,奥格瑞玛,25,33,33,2900,35,5800,item_source_not_in_questie,item:item_source_not_in_questie:count=15:sources=,9.4,19.4,40.4,299.0,,1433,,,automatic_route_candidate_missing,low_until_manual_review,"item_source_missing:6435,not_in_world_candidate_union"
1436,联盟关系,available_by_level_subject_to_prerequisites,奥格瑞玛,30,33,33,2900,35,5800,travel_dialogue_or_turnin,,8.9,19.4,37.4,299.0,0.0,1435,,,cross_zone_or_multi_zone,low_until_manual_review,
2950,诺格的手艺,available_by_level_subject_to_prerequisites,奥格瑞玛,28,35,35,3300,35,6600,mixed_with_personal_item,"item:task_item_world_object_pickup:count=30:sources=Battered Chest,Battered Chest,Tattered Chest,Tattered Chest; item:multiple_creature_task_item_drops:count=None:sources=恐怖骸骨,骷髅法师,夜行黑暗狼人,夜行邪齿狼人",22.03,44.58,89.49,148.0,0.0,2949,,,"cross_zone_or_multi_zone,drop_rate_required,dungeon_objective_source,elite_or_rare_target,object_respawn_and_multi_click_unknown",low_until_manual_review,"objective_count:missing_counts,server_drop_rate_needed"
535,仆从瓦里克,available_by_level_subject_to_prerequisites,奥特兰克山脉,29,34,34,310,35,620,single_named_drop,item:single_named_creature_task_item:count=1:sources=醉酒的劫匪,1.9,2.88,6.23,215.3,4.17,,,,,medium,
1177,饿！,available_by_level_subject_to_prerequisites,尘泥沼泽,32,36,36,3500,35,7000,multi_creature_personal_drop,"item:multiple_creature_task_item_drops:count=8:sources=黑鳍鱼人,黑鳍泥浆鱼人,黑鳍滩行鱼人,黑鳍智者",12.84,38.42,111.77,182.2,69.49,,,,"drop_rate_required,elite_or_rare_target",low_until_manual_review,server_drop_rate_needed
1201,塞拉摩间谍,available_by_level_subject_to_prerequisites,尘泥沼泽,30,35,35,3300,35,6600,shared_kill,kill:regular_shared_kills:count=9:sources=塞拉摩间谍,6.51,9.32,14.1,708.2,12.28,,,1202,,medium_high,
1202,塞拉摩码头,available_by_level_subject_to_prerequisites,尘泥沼泽,30,35,35,3300,35,6600,world_object_item_collection,item:task_item_world_object_pickup:count=1:sources=Captain's Footlocker,6.72,9.27,15.65,712.0,81.5,1201,,,object_respawn_and_multi_click_unknown,low_until_manual_review,
1203,加尔的剑,available_by_level_subject_to_prerequisites,尘泥沼泽,30,35,35,4100,35,8200,single_named_drop,item:single_named_creature_task_item:count=1:sources=刺脊,2.56,3.79,7.7,2163.6,13.7,1206,,,active_item_or_spell_use,medium,
1206,加尔和蜘蛛眼,available_by_level_subject_to_prerequisites,尘泥沼泽,30,35,35,3300,35,6600,multi_creature_personal_drop,"item:multiple_creature_task_item_drops:count=20:sources=黑雾蜘蛛,暗雾独行蛛,暗雾纺丝者,暗雾寡妇蛛",22.37,76.23,233.85,86.6,47.26,1218,,1203,"active_item_or_spell_use,drop_rate_required,elite_or_rare_target",low_until_manual_review,server_drop_rate_needed
1218,沼泽蛙的腿,available_by_level_subject_to_prerequisites,尘泥沼泽,30,35,35,1650,35,3300,multi_creature_personal_drop,item:multiple_creature_task_item_drops:count=10:sources=大型沼泽蛙,5.42,20.33,59.76,162.3,2.32,,,1206,drop_rate_required,low_until_manual_review,server_drop_rate_needed
1238,遗失的报告,available_by_level_subject_to_prerequisites,尘泥沼泽,30,35,35,2450,35,4900,travel_dialogue_or_turnin,,2.24,3.19,5.18,1536.1,20.28,,,,,medium_high,
1239,被取下的徽记,available_by_level_subject_to_prerequisites,尘泥沼泽,30,35,35,2450,35,4900,travel_dialogue_or_turnin,,2.2,3.13,5.08,1565.5,19.58,1238,,1240,,medium_high,
1240,巨魔巫医,available_by_level_subject_to_prerequisites,尘泥沼泽,30,35,35,3300,35,6600,travel_dialogue_or_turnin,,8.9,19.4,37.4,340.2,,1239,,,cross_zone_or_multi_zone,low_until_manual_review,
1251,黑色盾牌,available_by_level_subject_to_prerequisites,尘泥沼泽,30,35,35,820,35,1650,travel_dialogue_or_turnin,,2.1,2.99,4.87,551.8,18.04,,,1321,,medium_high,
1261,玛尔格的嘱托,available_by_level_subject_to_prerequisites,尘泥沼泽,30,40,40,4370,35,8700,single_creature_drop,"item:single_regular_creature_task_item:count=1:sources=污壳巨钳龙虾人,污壳硬爪龙虾人,污壳钳手龙虾人,污壳狂钳龙虾人",9.71,24.05,52.28,361.7,34.28,1240,,1262,cross_zone_or_multi_zone,low_until_manual_review,
1262,向佐尔报告,available_by_level_subject_to_prerequisites,尘泥沼泽,30,40,40,4370,35,8700,travel_dialogue_or_turnin,,8.9,19.4,37.4,448.5,,1261,,,cross_zone_or_multi_zone,low_until_manual_review,
1263,燃烧的旅店,available_by_level_subject_to_prerequisites,尘泥沼泽,30,35,0,0,35,0,travel_dialogue_or_turnin,,1.9,4.4,10.4,,,,,,"automatic_route_candidate_missing,non_npc_finish_or_missing_finish,non_npc_start_or_missing_start",low_until_manual_review,not_in_world_candidate_union
1268,可疑的蹄印,available_by_level_subject_to_prerequisites,尘泥沼泽,30,35,35,1650,35,3300,travel_dialogue_or_turnin,,2.1,2.99,4.87,1103.7,18.04,,,,,medium_high,
1269,帕瓦尔·雷瑟上尉,available_by_level_subject_to_prerequisites,尘泥沼泽,30,37,37,920,35,1850,travel_dialogue_or_turnin,,2.1,2.99,4.87,618.7,18.04,,,,,medium_high,
